Smiles,PIC50
CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4CCCCC4,5.167491087
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C=C3CC4=CC=C(C=C4)F)CCCCCC(=O)NO,6.536107011
CC1=C(C=CC(=C1)OCC2=NN=C(N2C3=CN=CC=C3)SC4CCCC4)C5=CC=C(C=C5)S(=O)(=O)C,7.619788758
CCOC(=O)C1=C2C(=CN1)[C@@H](C3=C(N2)CN(CC3=O)C(=O)CN)C4=CC=C(O4)SC5=NC6=CC=CC=C6N5.Cl,7.698970004
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C=C3CC4=CC(=CC=C4)C(F)(F)F)CCCCCC(=O)NO,6.536107011
CC1=C(C(=CC=C1)C)N2C(=C(C=N2)C(=O)NC3=NC4=CC=CC=C4C=C3)C,7.585026652
CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCCCC(=O)NO,6
CN(C)CCN(C)CCOC1=C2C3=CC=CC=C3SC2=C(C=C1)C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6,8.301029996
CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C(C(=C3)OCC4=CC(=CC=C4)C#N)CN[C@@H]([C@@H](C)O)C(=O)O)Cl,8.045757491
C1COCCN1CC(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,6.107905397
C[C@@H]1COCCN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)N,7.199970641
CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCCCCCCC(=O)NO,6
C1=CC(=CC(=C1)F)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NC=NN5,7.229147988
CC1=CN=C(N=C1NCC2=CN=CC=C2)C3=CC=CC=C3C(C)C,5.886056648
C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CC(=C3)F)N4C2=NN=C4N,4.301029996
CN(C)CC1=CC=C(C=C1)C2C(C3=NNC(=O)C4=C3C(=CC(=C4)F)N2)C5=CC=C(C=C5)F,8.580044252
CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)C(F)(F)F,6.322393047
CCN(CC)CCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)N,5.619788758
CN1C=C(C2=C1C=C(C=C2)NC3=NC=C(O3)C4=CC=CC=C4CN)C#N,5.958607315
COC1=C(C=C(C=C1)C(=CC#N)C2=CC(=CC(=C2)OC)OC)O,8.602059991
C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3[N+](=O)[O-])NCC4=CC=C(C=C4)C5=CN=CC=C5,5.107905397
CC(=CCC[C@]\1(C/C=C(\C(=O)/C=C/[C@@]([C@@H](/C=C1)OC(=O)C=C(C)C)(C)O)/C(=O)N2CCN(CC2)C)C)C,5.262012674
CC(=O)N1CCN(CC1)C2=NN(N=C2C(=O)C3=CC(=C(C(=C3)OC)OC)OC)C4=CC(=C(C=C4)OC)[N+](=O)[O-],4.522878745
COC1=C2C=C(C=N1)C3=NN4C(=CN=C4S3)CC5=CC(=CC=C5)CNC(=O)C6=CC(=CC=C6)S(=O)(=O)N2,9
CCC(=O)N1CC[C@@H](C1)N2C3=NC(=NC=C3CN(C2=O)C4=CC=C(C=C4)C)NC5=CC(=C(C=C5)N6CCN(CC6)C)C,7.68613278
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC4=C(C=C3)C(=CC=C4)C(=O)NC5CCC5,8.669992299
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4N(S(=O)(=O)C)S(=O)(=O)C,5.670195478
COC1=CC(=C(C=C1)OC)/C=C/C(=O)C2=C(C=C(C=C2OC)OC)OC,5.142667504
CC(=O)OCC(=O)N(C)C1=CC=CC=C1C2=CN=C(O2)NC3=CC4=C(C=C3)C(=CN4)C5=CN=CO5,8.15490196
CC(C)NC(=O)CCN1C(=O)C2=CC=CC=C2N3C1=NNC3=S,5.408935393
CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,8.698970004
COC1=C(C(=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2OC)OC)OC)OC)OC,6.522878745
C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OC)C(=O)N[C@@H](CC(C)C)C(=O)C(=O)NC2=CC=CC=C2)NC(=O)CN3CCOCC3,6.37788964
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C(=O)N(C3C4=CC=CC=C4)CC5=CN(N=N5)CCOCC(=O)NC6=CC=CC7=C6C(=O)N(C7=O)C8CCC(=O)NC8=O)C,7.378823718
CC1=CC(=CC=C1)NC2=NC=C3CN(C(=O)N(C3=N2)C4CCN(CC4)C(=O)/C=C/CN(C)C)C5=C(C(=CC(=C5Cl)OC)OC)Cl,8.935542011
C1CCC(C1)SC2=NN=C(N2C3=CN=CC=C3)COC4=CC(=CC=C4)Br,6.548213564
